projekt_nr;jahr;core_score;total_score;klasse;befunde_count;bewertungsstufen;faelle;D-02;D-04;D-05;D-08;F-01;F-08;P-08;P-11
0199-2023;2023;1;1;POSITIV;0;;;;;;;W-Phase: -3715.0 EUR (100.0%%);;;
0199-2024;2024;2;2;UNBEKANNT;0;;;;;Firma Bajramaj: 2328 EUR;;;;;Caspari solo C=60 beteil=HOCH
0200-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 90.1%% (A=1593.0 R=159.0);;;;;T-Phase: -1435.0 EUR (90.1%%);;
0200-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=9 C=15);
0201-2023;2023;3;4;UNBEKANNT;7;GESICHERT;FALL-014|FALL-015;Phase T: Diff 91.5%% (A=28762.0 R=2457.0);;RS Bau und Demontage Service: 24487 EUR;;;T-Phase: -26305.0 EUR (91.5%%);;Caspari solo C=60 beteil=HOCH
0201-2024;2024;2;2;UNBEKANNT;3;GESICHERT|VERDACHT;FALL-011|FALL-014;;;Stephan Lowicki: 7476 EUR;;;;;Caspari solo C=100 beteil=HOCH
0201-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1030.0 EUR (100.0%%);;
0202-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0202-2025;2025;1;2;UNBEKANNT;0;;;Phase T: Diff 87.1%% (A=2344.0 R=303.0);;;;;T-Phase: -2041.0 EUR (87.1%%);;
0203-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 29.4%% (A=1923.0 R=1357.0);;;;;;;
0203-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 30.6%% (A=818.0 R=568.0);;;;;;;
0204-2023;2023;3;3;UNBEKANNT;2;GESICHERT;FALL-015;Phase T: Diff 26.1%% (A=1233.0 R=912.0);;MKG Der Dienstleister: 1030 EUR;;;;;Caspari solo C=50 beteil=HOCH
0204-2024;2024;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 1803 EUR;;;;;
0205-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0205-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0206-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1010.0 EUR (100.0%%);;
0207-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0208-2023;2023;1;1;POSITIV;0;;;;;;;W-Phase: -4833.0 EUR (100.0%%);;;
0208-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0209-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=80 beteil=HOCH
0209-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -2641.0 EUR (100.0%%);;
0209-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0210-2023;2023;2;2;UNBEKANNT;0;;;Phase T: Diff 25.7%% (A=735.0 R=546.0);;MKG Der Dienstleister: 4127 EUR;;;;;
0210-2024;2024;2;2;UNBEKANNT;0;;;Phase T: Diff 76.2%% (A=1111.0 R=264.0);;;;;;Bierau + Tandem (B=14 C=7);
0211-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1830.0 EUR (100.0%%);;
0211-2024;2024;1;1;UNBEKANNT;0;;;Phase W: Diff 24.7%% (A=1219.0 R=918.0);;;;;;;
0211-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -18267.0 EUR (100.0%%);;
0212-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0212-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0213-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0213-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1455.0 EUR (100.0%%);;
0214-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0214-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0214-2025;2025;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -4764.0 EUR (100.0%%);;
0215-2023;2023;2;3;UNBEKANNT;0;;;Phase T: Diff 72.1%% (A=1755.0 R=490.0);;;;;T-Phase: -1265.0 EUR (72.1%%);;Caspari solo C=50 beteil=HOCH
0216-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0216-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0217-2023;2023;2;3;UNBEKANNT;2;GESICHERT;FALL-015;Phase T: Diff 70.4%% (A=3159.0 R=936.0);;MKG Der Dienstleister: 4165 EUR;;;T-Phase: -2223.0 EUR (70.4%%);;
0217-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0217-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0218-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0219-2024;2024;2;3;POSITIV;9;GESICHERT|HYPOTHESE|VERDACHT;FALL-011;;;;;W-Phase: -43784.0 EUR (100.0%%);T-Phase: -6366.0 EUR (100.0%%);Bierau + Tandem (B=23 C=21);
0219-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0220-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1413.0 EUR (100.0%%);;
0220-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1399.0 EUR (100.0%%);;
0220-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0221-2023;2023;1;1;UNBEKANNT;0;;;;;Nils Löser Haustechnik: 1022 EUR;;;;;
0221-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=100 beteil=HOCH
0221-2025;2025;0;0;NEGATIV;0;;;;;;;;;;
0222-2023;2023;2;3;UNBEKANNT;0;;;Phase T: Diff 83.4%% (A=4222.0 R=700.0);;;;;T-Phase: -3522.0 EUR (83.4%%);;Caspari solo C=70 beteil=HOCH
0222-2024;2024;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -7602.0 EUR (100.0%%);Bierau + Tandem (B=2 C=5);
0222-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0223-2023;2023;1;1;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 4581 EUR;;;;;
0223-2024;2024;3;3;POSITIV;2;GESICHERT;FALL-011;;;Firma Bajramaj: 4858 EUR;;W-Phase: -3968.0 EUR (100.0%%);;Bierau + Tandem (B=31 C=36);
0224-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0224-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0224-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0225-2023;2023;4;4;UNBEKANNT;0;;;Phase W: Diff 22.1%% (A=6951.0 R=5415.0);;Hengst Malerwerkstätten GmbH: 5859 EUR;;W-Phase: -1536.0 EUR (22.1%%);;;Caspari solo C=50 beteil=HOCH
0225-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0226-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0226-2024;2024;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -1887.0 EUR (100.0%%);Bierau + Tandem (B=1 C=5);
0226-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0227-2023;2023;2;2;UNBEKANNT;0;;;;;Hengst Malerwerkstätten GmbH: 3123 EUR;;;;;Caspari solo C=50 beteil=HOCH
0227-2025;2025;1;1;UNBEKANNT;0;;;Phase T: Diff 46.4%% (A=530.0 R=284.0);;;;;;;
0229-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0229-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0229-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0230-2024;2024;2;3;UNBEKANNT;2;VERDACHT;FALL-011;Phase T: Diff 64.4%% (A=4106.0 R=1463.0);;;;;T-Phase: -2643.0 EUR (64.4%%);;Caspari solo C=60 beteil=HOCH
0230-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0231-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=100 beteil=HOCH
0231-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0232-2023;2023;2;2;UNBEKANNT;0;;;Phase T: Diff 40.4%% (A=2153.0 R=1283.0);;;;;;;Caspari solo C=50 beteil=HOCH
0232-2024;2024;2;2;POSITIV;0;;;;;Firma Bajramaj: 4783 EUR;;;;;Caspari solo C=50 beteil=HOCH
0232-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0233-2023;2023;2;2;POSITIV;0;;;;;;;W-Phase: -15568.0 EUR (100.0%%);;;Caspari solo C=100 beteil=HOCH
0233-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0234-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 34.0%% (A=1778.0 R=1173.0);;;;;;;
0234-2025;2025;1;1;UNBEKANNT;0;;;Phase T: Diff 23.5%% (A=889.0 R=680.0);;;;;;;
0235-2023;2023;2;2;UNBEKANNT;0;;;;;MKG Der Dienstleister: 3362 EUR;;;;;Caspari solo C=50 beteil=HOCH
0236-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=70 beteil=HOCH
0237-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0238-2024;2024;2;3;UNBEKANNT;0;;;Phase T: Diff 39.6%% (A=3201.0 R=1934.0);;;;;T-Phase: -1267.0 EUR (39.6%%);;Caspari solo C=60 beteil=HOCH
0238-2025;2025;0;0;UNBEKANNT;0;;;;;;;;;;
0239-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0239-2024;2024;2;2;POSITIV;7;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-016|FALL-018;;;;;W-Phase: -9284.0 EUR (100.0%%);;;Caspari solo C=80 beteil=HOCH
0240-2023;2023;1;1;UNBEKANNT;0;;;;;MKG Der Dienstleister: 2940 EUR;;;;;
0241-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0242-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0243-2024;2024;1;1;POSITIV;0;;;;;N&N Bau GbR: 5000 EUR;;;;;
0244-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0244-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0245-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0246-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1408.0 EUR (100.0%%);;
0247-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0247-2024;2024;2;3;UNBEKANNT;0;;;Phase T: Diff 95.0%% (A=3725.0 R=185.0);;;;;T-Phase: -3540.0 EUR (95.0%%);Bierau + Tandem (B=12 C=17);
0248-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0249-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0251-2023;2023;2;2;NEGATIV;0;;;;;Alexander Jakob: 1184 EUR;;W-Phase: -2614.0 EUR (100.0%%);;;
0251-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0252-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=14 C=6);
0253-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0253-2024;2024;4;5;POSITIV;5;GESICHERT|HYPOTHESE;FALL-011|FALL-015;Phase W: Diff 96.0%% (A=8730.0 R=352.0);;Firma Bajramaj: 1765 EUR;;W-Phase: -8378.0 EUR (96.0%%);T-Phase: -1274.0 EUR (36.8%%);;Caspari solo C=100 beteil=HOCH
0255-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0256-2023;2023;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -2404.0 EUR (100.0%%);;Caspari solo C=50 beteil=HOCH
0256-2024;2024;2;2;UNBEKANNT;0;;;;;Firma Bajramaj: 3788 EUR;;;;;Caspari solo C=70 beteil=HOCH
0257-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0258-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0258-2024;2024;1;2;UNBEKANNT;0;;;Phase T: Diff 93.1%% (A=2036.0 R=140.0);;;;;T-Phase: -1896.0 EUR (93.1%%);;
0259-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 36.0%% (A=3215.0 R=2058.0);;;;;T-Phase: -1157.0 EUR (36.0%%);;
0260-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 91.9%% (A=1725.0 R=140.0);;;;;T-Phase: -1585.0 EUR (91.9%%);;
0261-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0263-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0263-2024;2024;1;1;UNBEKANNT;0;;;;;Schreinerei Lothar Merte: 7230 EUR;;;;;
0264-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0265-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0265-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0266-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0266-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1929.0 EUR (100.0%%);;
0267-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0268-2024;2024;2;2;POSITIV;1;HYPOTHESE;FALL-011;;;Gerd Zippel: 8420 EUR;;;;;Caspari solo C=50 beteil=HOCH
0269-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0270-2023;2023;3;4;UNBEKANNT;0;;;Phase W: Diff 37.3%% (A=8734.0 R=5480.0);;Hengst Malerwerkstätten GmbH: 5928 EUR;;W-Phase: -3254.0 EUR (37.3%%);T-Phase: -1638.0 EUR (73.4%%);;
0270-2024;2024;2;2;UNBEKANNT;3;GESICHERT;FALL-014|FALL-015;;;RS Bau und Demontage Service: 13391 EUR;;;;;Caspari solo C=100 beteil=HOCH
0271-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 25.5%% (A=1349.0 R=1005.0);;;;;;;
0272-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=20 C=50);
0272-2024;2024;1;1;POSITIV;0;;;;;N&N Bau GbR: 6438 EUR;;;;;
0273-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0273-2024;2024;0;0;POSITIV;0;;;;;;;;;;
0275-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 40.8%% (A=992.0 R=588.0);;;;;;;
0275-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=19 C=10);
0277-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1461.0 EUR (100.0%%);;
0277-2024;2024;2;2;POSITIV;0;;;;;;;W-Phase: -3102.0 EUR (100.0%%);;Bierau + Tandem (B=43 C=43);
0278-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0279-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0280-2023;2023;1;2;UNBEKANNT;0;;;;;;;;T-Phase: -1488.0 EUR (100.0%%);Bierau + Tandem (B=1 C=5);
0281-2024;2024;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1488.0 EUR (100.0%%);;
0282-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0283-2023;2023;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0283-2024;2024;1;1;POSITIV;2;VERDACHT;FALL-018;;;;;;;;Caspari solo C=60 beteil=HOCH
0284-2024;2024;1;1;UNBEKANNT;0;;;;;Firma Bajramaj: 5727 EUR;;;;;
0285-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0285-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0286-2023;2023;2;3;UNBEKANNT;2;GESICHERT;FALL-014;Phase T: Diff 96.0%% (A=7602.0 R=306.0);;;;;T-Phase: -7297.0 EUR (96.0%%);Bierau + Tandem (B=55 C=55);
0286-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0287-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0288-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0288-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0289-2023;2023;0;1;UNBEKANNT;0;;;;;;;;T-Phase: -1125.0 EUR (100.0%%);;
0289-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0290-2024;2024;2;3;UNBEKANNT;0;;;Phase T: Diff 91.7%% (A=9114.0 R=753.0);;;;;T-Phase: -8361.0 EUR (91.7%%);;Caspari solo C=70 beteil=HOCH
0291-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0291-2024;2024;3;3;POSITIV;1;GESICHERT;FALL-017;;;N&N Bau GbR: 3926 EUR;;W-Phase: -1376.0 EUR (14.2%%);;;Caspari solo C=80 beteil=HOCH
0292-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0292-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0293-2023;2023;2;2;POSITIV;2;VERDACHT;FALL-018;;;Gerd Zippel: 4760 EUR;;;;;Caspari solo C=90 beteil=HOCH
0293-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0294-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0294-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0295-2023;2023;2;2;POSITIV;3;GESICHERT|VERDACHT;FALL-015;;;MKG Der Dienstleister: 7735 EUR;;;;;Caspari solo C=50 beteil=HOCH
0296-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 51.2%% (A=11433.0 R=5582.0);;;;;T-Phase: -5851.0 EUR (51.2%%);;
0297-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0297-2024;2024;4;4;POSITIV;2;VERDACHT;FALL-011;Phase W: Diff 95.4%% (A=18988.0 R=877.0);;Firma Bajramaj: 2290 EUR;;W-Phase: -18110.0 EUR (95.4%%);;Bierau + Tandem (B=63 C=51);
0299-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0300-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0300-2024;2024;2;2;UNBEKANNT;2;VERDACHT;FALL-011;;;N&N Bau GbR: 2231 EUR;;;;Bierau + Tandem (B=20 C=80);
0301-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0302-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0303-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0304-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0304-2024;2024;2;2;UNBEKANNT;0;;;;;;Fliesen Schmidt: 28911.0 EUR bei 0.0%% Prov;;;;Caspari solo C=100 beteil=HOCH
0305-2023;2023;1;1;NEGATIV;0;;;;;;;W-Phase: -1970.0 EUR (100.0%%);;;
0305-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0306-2023;2023;2;3;UNBEKANNT;0;;;Phase T: Diff 53.7%% (A=3230.0 R=1497.0);;Hengst Malerwerkstätten GmbH: 2091 EUR;;;T-Phase: -1733.0 EUR (53.7%%);;
0306-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0307-2023;2023;1;1;UNBEKANNT;0;;;;;OZ Immobiliendienste GmbH: 1125 EUR;;;;;
0307-2024;2024;2;2;UNBEKANNT;0;;;;;FENNER GmbH u. Co. KG: 1065 EUR;;;;;Caspari solo C=90 beteil=HOCH
0308-2023;2023;1;1;UNBEKANNT;0;;;Phase T: Diff 22.9%% (A=1678.0 R=1294.0);;;;;;;
0308-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0309-2023;2023;2;3;UNBEKANNT;0;;;Phase T: Diff 63.6%% (A=3940.0 R=1434.0);;;;;T-Phase: -2507.0 EUR (63.6%%);;Caspari solo C=50 beteil=HOCH
0309-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0310-2023;2023;2;2;POSITIV;6;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-014;;;RS Bau und Demontage Service: 14222 EUR;;;;Bierau + Tandem (B=186 C=190);
0311-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0311-2024;2024;4;4;POSITIV;5;GESICHERT|VERDACHT;FALL-014;Phase W: Diff 76.8%% (A=19532.0 R=4540.0);;RS Bau und Demontage Service: 7140 EUR;;W-Phase: -14992.0 EUR (76.8%%);;;Caspari solo C=100 beteil=HOCH
0312-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0313-2023;2023;1;2;UNBEKANNT;0;;;Phase T: Diff 87.2%% (A=2685.0 R=345.0);;;;;T-Phase: -2340.0 EUR (87.2%%);;
0313-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0314-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0314-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0315-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0317-2023;2023;2;2;UNBEKANNT;1;GESICHERT;FALL-014;;;RS Bau und Demontage Service: 6422 EUR;;;;Bierau + Tandem (B=29 C=29);
0317-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0318-2023;2023;1;1;NEGATIV;0;;;Phase W: Diff 26.3%% (A=796.0 R=586.0);;;;;;;
0318-2024;2024;1;2;UNBEKANNT;0;;;Phase T: Diff 53.3%% (A=2132.0 R=995.0);;;;;T-Phase: -1137.0 EUR (53.3%%);;
0319-2023;2023;0;0;UNBEKANNT;0;;;;;;;;;;
0319-2024;2024;1;1;UNBEKANNT;0;;;Phase T: Diff 70.9%% (A=1373.0 R=400.0);;;;;;;
0320-2023;2023;1;1;POSITIV;1;HYPOTHESE;FALL-011;;;;;W-Phase: -5590.0 EUR (100.0%%);;;
0320-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0321-2023;2023;2;3;UNBEKANNT;0;;;;;Firma Bajramaj: 5428 EUR;;;T-Phase: -1355.0 EUR (18.7%%);;Caspari solo C=80 beteil=HOCH
0322-2023;2023;1;1;UNBEKANNT;0;;;;;MKG Der Dienstleister: 3082 EUR;;;;;
0322-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0323-2023;2023;2;2;UNBEKANNT;0;;;Phase T: Diff 34.9%% (A=1780.0 R=1159.0);;Gerd Zippel: 3897 EUR;;;;;
0324-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0325-2023;2023;2;2;POSITIV;2;VERDACHT;FALL-016;;;N&N Bau GbR: 4525 EUR;;;;Bierau + Tandem (B=90 C=100);
0325-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0326-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0327-2023;2023;2;2;POSITIV;0;;;;;Hengst Malerwerkstätten GmbH: 10710 EUR;;;;;Caspari solo C=70 beteil=HOCH
0328-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=60 beteil=HOCH
0329-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0330-2024;2024;3;4;UNBEKANNT;1;GESICHERT;FALL-014;Phase T: Diff 25.2%% (A=7273.0 R=5437.0);;RS Bau und Demontage Service: 5449 EUR;;;T-Phase: -1836.0 EUR (25.2%%);;Caspari solo C=80 beteil=HOCH
0332-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=50 beteil=HOCH
0335-2024;2024;1;1;UNBEKANNT;2;GESICHERT|HYPOTHESE;FALL-015;;;;;;;;Caspari solo C=100 beteil=HOCH
0337-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;;Caspari solo C=70 beteil=HOCH
0341-2024;2024;2;2;POSITIV;6;GESICHERT|HYPOTHESE|VERDACHT;FALL-011|FALL-018;;;;;W-Phase: -14805.0 EUR (100.0%%);;;Caspari solo C=70 beteil=HOCH
0343-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0348-2024;2024;2;3;UNBEKANNT;0;;;Phase T: Diff 77.1%% (A=3222.0 R=737.0);;;;;T-Phase: -2484.0 EUR (77.1%%);;Caspari solo C=50 beteil=HOCH
0349-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0350-2024;2024;1;1;UNBEKANNT;0;;;;;;;;;Bierau + Tandem (B=70 C=50);
0351-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0352-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0353-2024;2024;2;2;POSITIV;1;GESICHERT;FALL-017;;;N&N Bau GbR: 2618 EUR;;;;;Caspari solo C=60 beteil=HOCH
0354-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
0355-2024;2024;0;0;UNBEKANNT;0;;;;;;;;;;
